Latitude,Longitude,Meadow_type,FIN_TYP,nearestDist (m),ALT_CODE,ECOREGION,ECO_CODE,ECO_CODE_X,Lat_Zone,PROVINCE,PROV_CODE,REALM,RLM_CODE,ARCTICCODE,AREA,BASINAREA,BASINID,BASINLENGT,BASINORDER,COLOR,CONTINENT_,C_BASIN_,C_BASIN_ID,DATA_VOL,DBITEMS,ESRI,HYDRO,MERGED_BAS,OCEANCODE,OCEANNAME,OCEAN_CODE,PERIMETER,RECORDNAME,SEABASINCO,SEABASINNA,SEACODE,SEANAME,SUBCONTINE,SUBCONTINE1,SYMBOLFLD,UP6
-23.104933,-44.213233,monospecific,3,11620.41941,183,Southeastern Brazil,20180,180,Temperate,Warm Temperate Southwestern Atlantic,47,Temperate South America,9,0,0.25,2850.8,3440,55.6,1,8,7,6487,6486,0,Record:3440,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3440,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-23.133783,-44.151083,monospecific,3,14815.47043,183,Southeastern Brazil,20180,180,Temperate,Warm Temperate Southwestern Atlantic,47,Temperate South America,9,0,0.25,2850.8,3440,55.6,1,8,7,6487,6486,0,Record:3440,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3440,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.973434,-42.020278,monospecific,3,0,183,Southeastern Brazil,20180,180,Temperate,Warm Temperate Southwestern Atlantic,47,Temperate South America,9,0,0.25,2850.8,3436,55.6,1,8,7,6491,6490,0,Record:3436,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3436,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.881841,-42.002751,monospecific,3,0,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.25,2850.8,3436,55.6,1,8,7,6491,6490,0,Record:3436,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3436,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.878932,-42.003653,monospecific,3,0,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.25,2850.8,3436,55.6,1,8,7,6491,6490,0,Record:3436,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3436,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.769126,-41.912172,monospecific,3,9019.702431,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.25,2850.8,3436,55.6,1,8,7,6491,6490,0,Record:3436,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3436,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.772383,-41.888983,monospecific,3,11400.67945,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.25,2850.8,3436,55.6,1,8,7,6491,6490,0,Record:3436,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3436,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.745867,-41.88145,monospecific,3,12176.45918,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.25,2850.8,3436,55.6,1,8,7,6491,6490,0,Record:3436,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3436,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-19.95365,-40.152067,monospecific,2,0,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.25,2909.4,3305,76.3,1,8,7,6404,6403,0,Record:3305,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3305,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-22.947603,-43.163558,monospecific,3,0,183,Southeastern Brazil,20180,180,Temperate,Warm Temperate Southwestern Atlantic,47,Temperate South America,9,0,0.25,2850.8,3438,55.6,1,8,7,6489,6488,2,Record:3438,South America,South America,0,4,Atlantic Ocean,2,2,GHAASBasin3438,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
-32.02285278,115.5314111,monospecific,1,0,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,1.5,15598.9,786,175.2,2,8,3,6673,6672,0,Record:786,Australasia,Australasia,0,64,Indian Ocean,3,5,GHAASBasin786,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-32.02535277,115.5300111,monospecific,1,0,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,1.5,15598.9,786,175.2,2,8,3,6673,6672,0,Record:786,Australasia,Australasia,0,64,Indian Ocean,3,5,GHAASBasin786,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-32.013062,115.7957862,monospecific,1,0,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,1.5,15598.9,786,175.2,2,8,3,6673,6672,0,Record:786,Australasia,Australasia,0,64,Indian Ocean,3,5,GHAASBasin786,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-32.01276264,115.7961129,monospecific,1,0,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,1.5,15598.9,786,175.2,2,8,3,6673,6672,0,Record:786,Australasia,Australasia,0,64,Indian Ocean,3,5,GHAASBasin786,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-33.27230556,115.6956778,monospecific,1,0,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,1.5,15598.9,786,175.2,2,8,3,6673,6672,0,Record:786,Australasia,Australasia,0,64,Indian Ocean,3,5,GHAASBasin786,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
