Site,CoreID,Species,Meadow_type,Location,Station,Latitude,Longitude,Country,Stock_0_20cm,Stock_0_50cm,Stock_20_50cm,Stock_20_50cm_estimate,d13C_surface,d13C_0_20cm,SD_d13C_0_20cm,N_d13C_0_20cm,d13C_0_50cm,SD_d13C_0_50cm,N_d13C_0_50cm,d13C_20_50cm,SD_d13C_20_50cm,N_d13C_20_50cm,d13C_leaf,SD_d13C_leaf,N_d13C_leaf,surface_soil_leaf_difference_d13C,z0_20_soil_leaf_difference_d13C,z20_50_soil_leaf_difference_d13C,Source
,87,Posidonia sinuosa,monospecific,Cockburn Sound,,-32.1359,115.7504667,Australia,24.3,,,,-11.4,-13.5,1.5,11,,,,,,,,,,-0.6,-2.7,,Serrano unpublished data
,#BD,Posidonia australis,monospecific,Point Peron,,-32.40194444,115.7938889,Australia,29.5,39.7,21.8,10.2,-14.8,-12.5,3.62,4,-11.6,2.76,9,-10.9,1.95,5,,,,-5.8,-3.5,-1.9,Serrano O unpublished data
,#BE,Posidonia australis,monospecific,Point Peron,,-32.40194444,115.7938889,Australia,6.7,12.6,11.1,5.9,-19.6,-17.3,2.03,4,-15.4,2.78,9,-13.8,2.47,5,,,,-10.6,-8.3,-4.8,Serrano O unpublished data
,#BF,Posidonia australis,monospecific,Point Peron,,-32.40194444,115.7938889,Australia,16.3,28,19.7,11.7,-14.6,-13.9,1.54,4,-12,2.24,9,-10.4,1.31,5,,,,-5.6,-4.9,-1.4,Serrano O unpublished data
,#AL,Halophila ovalis,monospecific,"Lucky Bay, Swan River",,-32.013062,115.7957862,Australia,4.7,8.6,3.8,3.9,-17.7,-19.2,1.64,4,-19.9,1.39,8,-20.6,0.67,4,-10,3,21,-7.7,-9.2,-10.6,Serrano unpublished data
,#AM,Halophila ovalis,monospecific,"Lucky Bay, Swan River",,-32.01276264,115.7961129,Australia,4.8,8.1,4.5,3.3,-16.8,-19.6,2.07,4,-20.1,1.66,7,-20.9,0.63,3,,,,-6.8,-9.6,-10.9,Serrano unpublished data
,680,"Halophila ovalis, Halodule uninervis",multispecific,"Western Australia, Swan River Claremont",,-31.98996667,116.9166667,Australia,6.6,50,45.2,43.4,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
,#AF,Posidonia australis,monospecific,Princess Royal Harbour,,-35.07053106,117.8899655,Australia,22.3,22.7,13.3,0.4,-14.7,-12.9,1.65,4,-12.9,2.33,8,-13,3.16,4,,,,-5.7,-3.9,-4,Serrano O unpublished data
,#AH,Posidonia australis,monospecific,Princess Royal Harbour,,-35.07053106,117.8899655,Australia,34,62.7,37,28.7,-14,-12.3,1.28,4,-10.6,2.44,8,-9,1.63,4,,,,-5,-3.3,0,Serrano O unpublished data
1,28,Amphibolis antarctica,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,16.9,,,,,,,,,,,,,,-11.5,1,6,,,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,29,Amphibolis antarctica,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,8,,,,-9.3,-9.3,3.07,4,,,,,,,,,,2.2,2.2,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,30,Amphibolis antarctica,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,3.6,,,,-16.7,-16.2,2.06,4,,,,,,,,,,-5.2,-4.7,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,37,Amphibolis antarctica,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,2.3,,,,-15.2,-15.4,1.21,4,,,,,,,,,,-3.7,-3.9,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,38,Amphibolis antarctica,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,3.3,,,,-15,-15.5,1.22,4,,,,,,,,,,-3.5,-4,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,39,Amphibolis antarctica,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,3.2,,,,-17.9,-15.4,1.69,4,,,,,,,,,,-6.4,-3.9,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
2,10,Halophila ovalis,monospecific,"Trinity Inlet, QLD",water marks,-34.993858,117.944392,Australia,16.8,,,,-23.9,-24.8,0.61,4,,,,,,,,,,,,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
2,11,Halophila ovalis,monospecific,"Trinity Inlet, QLD",water marks,-34.993858,117.944392,Australia,20.3,,,,-24.3,-24.7,0.5,4,,,,,,,,,,,,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
2,12,Halophila ovalis,monospecific,"Trinity Inlet, QLD",water marks,-34.993858,117.944392,Australia,15,,,,-23.8,-24.6,0.54,4,,,,,,,,,,,,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
1,31,Posidonia sinuosa,monospecific,"Geographe Bay, WA ",siesta park,-34.993858,117.944392,Australia,3.2,,,,-14.8,-13.3,1.33,4,,,,,,,,,,-4,-2.5,,"Lavery PS, Mateo M-A, Serrano O, Rozaimi M 2013 Variability in the Carbon Storage of Seagrass Habitats and Its Implications for Global Estimates of Blue Carbon Ecosystem Service. PLoS ONE 8(9): e73748. doi:10.1371/journal.pone.0073748"
