CoreID,Species,Depth_centre_slice,Dry_bulk_density,Organic_carbon
395,Zostera marina,31,1.7,0
395,Zostera marina,33,1.71,0
395,Zostera marina,35,1.75,0.04
395,Zostera marina,37,1.65,0.06
BlueC1605,Zostera muelleri,1,1.25,4.12
BlueC1605,Zostera muelleri,15,1.54,5.62
BlueC1605,Zostera muelleri,29,1.56,3.92
BlueC1596,Zostera muelleri,1,1.09,9.42
BlueC1596,Zostera muelleri,15,0.58,17.01
BlueC1596,Zostera muelleri,29,0.6,15.42
BlueC1416,Zostera muelleri,1,1.21,4.88
BlueC1416,Zostera muelleri,15,1.64,4.01
BlueC1416,Zostera muelleri,29,1.43,8.6
BlueC1442,Zostera muelleri,1,1.09,12.12
BlueC1442,Zostera muelleri,15,1.38,2.16
BlueC1442,Zostera muelleri,29,1.27,6.97
BlueC1445,Zostera muelleri,1,0.93,6.51
BlueC1445,Zostera muelleri,15,1.12,12.88
BlueC1445,Zostera muelleri,29,1.46,11.59
BlueC1336,Zostera muelleri,1,1.33,17.03
BlueC1336,Zostera muelleri,15,1.42,16.76
BlueC1336,Zostera muelleri,29,1.51,14.7
BlueC1482,Zostera muelleri,1,0.62,44.04
BlueC1482,Zostera muelleri,15,1.31,9.12
BlueC1482,Zostera muelleri,29,1.67,0.1
BlueC1327,Zostera muelleri,1,0.78,20.45
BlueC1327,Zostera muelleri,15,1.22,6.54
BlueC1327,Zostera muelleri,29,1.03,5.35
BlueC1330,Zostera muelleri,1,1.19,5.79
BlueC1330,Zostera muelleri,15,2.1,3.12
BlueC1330,Zostera muelleri,29,1.36,4.63
BlueC1345,Zostera muelleri,1,1.38,4.77
BlueC1345,Zostera muelleri,15,1.93,1.11
BlueC1345,Zostera muelleri,29,1.48,3.7
BlueC1339,Zostera muelleri,1,0.94,7.63
BlueC1339,Zostera muelleri,15,1.44,3
BlueC1339,Zostera muelleri,29,1.65,4.21
BlueC1793,Zostera muelleri,1,1.11,12.91
BlueC1793,Zostera muelleri,15,1.28,6.3
BlueC1793,Zostera muelleri,29,1.31,5.68
BlueC1365,Zostera muelleri,1,0.59,23.61
BlueC1365,Zostera muelleri,15,1.39,3.15
BlueC1365,Zostera muelleri,29,0.88,24.36
BlueC1716,Zostera muelleri,1,0.24,50.74
BlueC1716,Zostera muelleri,15,1.59,2.55
BlueC1716,Zostera muelleri,29,0.63,34.83
BlueC1581,Zostera muelleri,1,0.51,46.28
BlueC1581,Zostera muelleri,15,1.25,3.21
BlueC1581,Zostera muelleri,29,1.26,4.55
BlueC1776,Zostera muelleri,1,0.82,19.93
BlueC1776,Zostera muelleri,15,1.39,3.8
BlueC1776,Zostera muelleri,29,1.24,4.39
BlueC1380,Zostera muelleri,1,0.5,31.57
BlueC1380,Zostera muelleri,15,1.62,3.55
BlueC1380,Zostera muelleri,29,1.43,3.35
BlueC1485,Zostera muelleri,1,1.06,11.59
BlueC1485,Zostera muelleri,15,1.47,4.05
BlueC1485,Zostera muelleri,29,1.23,12.2
BlueC1924,Zostera muelleri,1,0.41,37.21
BlueC1924,Zostera muelleri,15,1,10.77
BlueC1924,Zostera muelleri,29,0.72,8.4
BlueC1046,Zostera muelleri,1,1.82,3.7
BlueC1046,Zostera muelleri,15,1.55,1.3
BlueC1046,Zostera muelleri,29,1.26,1.63
BlueC1205,Zostera muelleri,1,1.89,2
BlueC1205,Zostera muelleri,15,1.18,1.92
BlueC1205,Zostera muelleri,29,,
BlueC1454,Zostera muelleri,1,1.85,3.47
BlueC1454,Zostera muelleri,15,,
BlueC1454,Zostera muelleri,29,,
BlueC1049,Zostera muelleri,1,0.42,32.69
BlueC1049,Zostera muelleri,15,1.06,7.17
BlueC1049,Zostera muelleri,29,1.57,1.17
BlueC1207,Zostera muelleri,1,1.09,12.12
BlueC1207,Zostera muelleri,15,1.94,4.48
BlueC1207,Zostera muelleri,29,2.27,1.57
BlueC1043,Zostera muelleri,1,0.57,20.76
BlueC1043,Zostera muelleri,15,1.27,7.4
BlueC1043,Zostera muelleri,29,1.85,3.47
BlueC1832,Zostera muelleri,1,1.3,5.41
BlueC1832,Zostera muelleri,15,0.69,19.23
BlueC1832,Zostera muelleri,29,0.66,22.89
BlueC1652,Zostera muelleri,1,0.93,5.98
BlueC1652,Zostera muelleri,15,0.39,22.38
BlueC1652,Zostera muelleri,29,0.51,30.33
BlueC1844,Zostera muelleri,1,0.94,5.57
BlueC1844,Zostera muelleri,15,0.54,24.52
BlueC1844,Zostera muelleri,29,0.54,18.04
BlueC1587,Zostera muelleri,1,1.38,8.66
BlueC1587,Zostera muelleri,15,1.72,2.64
BlueC1587,Zostera muelleri,29,1.34,4.06
BlueC1672,Zostera muelleri,1,1.15,17.65
BlueC1672,Zostera muelleri,15,1.39,2.79
BlueC1672,Zostera muelleri,29,1.56,6.18
BlueC1383,Zostera muelleri,1,1.12,4.97
BlueC1383,Zostera muelleri,15,1.01,19.36
BlueC1383,Zostera muelleri,29,1.25,7.89
BlueC1734,Zostera muelleri,1,1.02,12.73
BlueC1734,Zostera muelleri,15,1.04,9.68
BlueC1734,Zostera muelleri,29,0.69,15.8
BlueC1661,Zostera muelleri,1,1.02,12.91
BlueC1661,Zostera muelleri,15,0.94,10.22
BlueC1661,Zostera muelleri,29,1.06,10.98
BlueC1637,Zostera muelleri,1,0.57,20.2
BlueC1637,Zostera muelleri,15,0.97,9.12
BlueC1637,Zostera muelleri,29,0.63,20.03
BlueC1817,Zostera muelleri,1,0.78,7.81
BlueC1817,Zostera muelleri,15,1.29,3.62
BlueC1817,Zostera muelleri,29,1.17,3.71
BlueC1799,Zostera muelleri,1,1.03,5.2
BlueC1799,Zostera muelleri,15,1.38,3.87
BlueC1799,Zostera muelleri,29,1.67,7.88
BlueC1664,Zostera muelleri,1,1.38,5.31
BlueC1664,Zostera muelleri,15,1.52,2.72
BlueC1664,Zostera muelleri,29,,
BlueC1623,Zostera muelleri,1,0.82,7.48
BlueC1623,Zostera muelleri,15,1.4,4.25
BlueC1623,Zostera muelleri,29,1.2,8.41
BlueC1850,Zostera muelleri,1,1.34,2.88
BlueC1850,Zostera muelleri,15,1.52,4.76
BlueC1850,Zostera muelleri,29,1.41,4.51
BlueC1666,Zostera muelleri,1,1.04,4.68
BlueC1666,Zostera muelleri,15,1.38,6.12
BlueC1666,Zostera muelleri,29,1.53,3.95
BlueC1669,Zostera muelleri,1,1.03,7.53
BlueC1669,Zostera muelleri,15,1.23,8.48
BlueC1669,Zostera muelleri,29,1.05,8.49
BlueC1731,Zostera muelleri,1,1.42,6.36
BlueC1731,Zostera muelleri,15,1.5,4.11
BlueC1731,Zostera muelleri,29,1.66,2.33
BlueC1811,Zostera muelleri,1,0.97,8.4
BlueC1811,Zostera muelleri,15,1.6,3.7
BlueC1811,Zostera muelleri,29,1.56,2.86
BlueC1617,Zostera muelleri,1,1.25,4.2
BlueC1617,Zostera muelleri,15,1.6,2.77
BlueC1617,Zostera muelleri,29,1.64,1.72
BlueC1004,Zostera muelleri,1,0.67,13.36
BlueC1004,Zostera muelleri,15,0.55,20.27
BlueC1004,Zostera muelleri,29,0.64,18.06
BlueC1007,Zostera muelleri,1,0.65,15.02
BlueC1007,Zostera muelleri,15,0.61,17.79
BlueC1007,Zostera muelleri,29,0.59,18.36
BlueC1425,Zostera muelleri,1,0.73,18.22
BlueC1425,Zostera muelleri,15,0.49,18.35
BlueC1425,Zostera muelleri,29,0.63,19.43
BlueC1572,Zostera muelleri,1,1.12,3.69
BlueC1572,Zostera muelleri,15,1.41,3.53
BlueC1572,Zostera muelleri,29,1.38,4.44
BlueC1593,Zostera muelleri,1,1.27,6.52
BlueC1593,Zostera muelleri,15,1.21,4.29
BlueC1593,Zostera muelleri,29,1.48,3.43
BlueC1758,Zostera muelleri,1,1.12,6.21
BlueC1758,Zostera muelleri,15,1.44,2.86
BlueC1758,Zostera muelleri,29,1.44,2.11
BlueC1255,Zostera muelleri,1,1.36,7.96
BlueC1255,Zostera muelleri,15,1.7,4.4
BlueC1255,Zostera muelleri,29,2.03,7.58
BlueC1835,Zostera muelleri,1,1.12,9.07
BlueC1835,Zostera muelleri,15,1.71,3.4
BlueC1835,Zostera muelleri,29,1.79,4.22
BlueC1113,Zostera muelleri,1,1.34,6.41
BlueC1113,Zostera muelleri,15,1.38,2.28
BlueC1113,Zostera muelleri,29,1.65,5.97
BlueC1127,Zostera muelleri,1,1.31,8.77
BlueC1127,Zostera muelleri,15,1.36,6.03
BlueC1127,Zostera muelleri,29,1.27,6.27
BlueC1258,Zostera muelleri,1,1.6,2.12
BlueC1258,Zostera muelleri,15,2.03,2.15
BlueC1258,Zostera muelleri,29,1.52,4.62
BlueC1112,Zostera muelleri,1,1.53,2.32
BlueC1112,Zostera muelleri,15,1.47,7.74
BlueC1112,Zostera muelleri,29,2.52,1.67
BlueC1823,Zostera muelleri,1,1.18,7.27
BlueC1823,Zostera muelleri,15,1.66,4.56
BlueC1823,Zostera muelleri,29,1.38,3.55
BlueC1838,Zostera muelleri,1,1.27,5.4
BlueC1838,Zostera muelleri,15,1.73,3.66
BlueC1838,Zostera muelleri,29,1.96,3.97
BlueC1675,Zostera muelleri,1,1,9.36
BlueC1675,Zostera muelleri,15,1.6,4.78
BlueC1675,Zostera muelleri,29,1.62,4.24
BlueC1294,Zostera muelleri,1,1.36,3.18
BlueC1294,Zostera muelleri,15,1.35,1.79
BlueC1294,Zostera muelleri,29,1.41,1.99
BlueC1285,Zostera muelleri,1,1.32,1.62
BlueC1285,Zostera muelleri,15,1.57,1.26
BlueC1285,Zostera muelleri,29,1.54,2.52
BlueC1185,Zostera muelleri,1,1.44,4.46
BlueC1185,Zostera muelleri,15,1.03,9.46
BlueC1185,Zostera muelleri,29,1.39,7.2
BlueC1022,Zostera muelleri,1,1.41,4.12
BlueC1022,Zostera muelleri,15,1.6,3.5
BlueC1022,Zostera muelleri,29,1.61,3.87
BlueC1025,Zostera muelleri,1,1.46,3.06
BlueC1025,Zostera muelleri,15,1.54,2.65
BlueC1025,Zostera muelleri,29,1.59,4.26
BlueC1028,Zostera muelleri,1,1.03,4.99
BlueC1028,Zostera muelleri,15,1.59,1.63
BlueC1028,Zostera muelleri,29,1.38,3.56
BlueC1867,Zostera muelleri,1,0.34,36.77
BlueC1867,Zostera muelleri,15,1.1,9.13
BlueC1867,Zostera muelleri,29,1.55,5.73
BlueC1870,Zostera muelleri,1,0.6,20.26
BlueC1870,Zostera muelleri,15,1.54,3.32
BlueC1870,Zostera muelleri,29,1.26,6.89
BlueC1722,Zostera muelleri,1,0.71,14.39
BlueC1722,Zostera muelleri,15,1.39,4.04
BlueC1722,Zostera muelleri,29,1.97,4.49
BlueC1728,Zostera muelleri,1,1.55,2.19
BlueC1728,Zostera muelleri,15,1.49,2.04
BlueC1728,Zostera muelleri,29,1.59,2.36
BlueC1231,Zostera muelleri,1,1.21,3.02
BlueC1231,Zostera muelleri,15,2.01,2.59
BlueC1231,Zostera muelleri,29,1.88,1.59
BlueC1073,Zostera muelleri,1,1.52,2.79
BlueC1073,Zostera muelleri,15,1.52,1.91
BlueC1073,Zostera muelleri,29,1.56,2.75
BlueC1079,Zostera muelleri,1,1.06,2.65
BlueC1079,Zostera muelleri,15,1.58,3.06
BlueC1079,Zostera muelleri,29,1.57,2.54
BlueC1082,Zostera muelleri,1,1.15,3.58
BlueC1082,Zostera muelleri,15,1.45,1.61
BlueC1082,Zostera muelleri,29,1.82,1.27
BlueC1085,Zostera muelleri,1,1.12,4.54
BlueC1085,Zostera muelleri,15,1.3,3.53
BlueC1085,Zostera muelleri,29,1.31,2.31
BlueC1451,Zostera muelleri,1,1.69,2.68
BlueC1451,Zostera muelleri,15,0.97,26.48
BlueC1451,Zostera muelleri,29,0.73,28.44
BlueC1542,Zostera muelleri,1,1.44,2.41
BlueC1542,Zostera muelleri,15,1.47,7.45
BlueC1542,Zostera muelleri,29,1.56,3.83
BlueC1130,Zostera muelleri,1,1.16,3.75
BlueC1130,Zostera muelleri,15,1.63,2.63
BlueC1130,Zostera muelleri,29,1.48,3.26
BlueC1554,Zostera muelleri,1,1.65,2.94
BlueC1554,Zostera muelleri,15,1.55,3
BlueC1554,Zostera muelleri,29,1.64,2.92
BlueC1133,Zostera muelleri,1,1.46,3.31
BlueC1133,Zostera muelleri,15,1.35,3.44
BlueC1133,Zostera muelleri,29,1.51,3.81
BlueC1557,Zostera muelleri,1,1.78,3.02
BlueC1557,Zostera muelleri,15,0.92,54.79
BlueC1557,Zostera muelleri,29,1.74,2.24
BlueC1563,Zostera muelleri,1,1.86,2.66
BlueC1563,Zostera muelleri,15,1.56,3.56
BlueC1563,Zostera muelleri,29,1.65,2.73
BlueC1551,Zostera muelleri,1,1.66,4.25
BlueC1551,Zostera muelleri,15,1.72,3.15
BlueC1551,Zostera muelleri,29,1.75,3.02
BlueC1515,Zostera nigricaulis,,0.68,22.34
BlueC1515,Zostera nigricaulis,,1.27,3.98
BlueC1515,Zostera nigricaulis,,1.33,6.61
BlueC1518,Zostera nigricaulis,,0.88,17.46
BlueC1518,Zostera nigricaulis,,1.31,2.74
BlueC1518,Zostera nigricaulis,,0.86,11.81
BlueC1494,Zostera nigricaulis,,0.86,17.12
BlueC1494,Zostera nigricaulis,,1.43,2.66
BlueC1494,Zostera nigricaulis,,1.34,3.92
BlueC1912,Zostera nigricaulis,,1.6,2.83
BlueC1912,Zostera nigricaulis,,1.47,3.27
BlueC1912,Zostera nigricaulis,,1.68,3.66
BlueC1915,Zostera nigricaulis,,1.61,3.4
BlueC1915,Zostera nigricaulis,,1.59,1.5
BlueC1915,Zostera nigricaulis,,1.64,2.05
BlueC1918,Zostera nigricaulis,,1.37,3.14
BlueC1918,Zostera nigricaulis,,1.32,5.49
BlueC1918,Zostera nigricaulis,,1.61,3.26
817,Zostera noltii,0.5,1.71,0.24
817,Zostera noltii,1.5,1.68,0.2
817,Zostera noltii,2.5,1.57,0.19
817,Zostera noltii,3.5,1.43,0.35
817,Zostera noltii,4.5,1.48,0.29
817,Zostera noltii,5.5,1.76,0.29
817,Zostera noltii,6.5,1.83,0.22
817,Zostera noltii,7.5,1.82,0.26
817,Zostera noltii,8.5,1.8,0.41
817,Zostera noltii,9.5,1.67,0.26
817,Zostera noltii,10.5,1.83,0.46
817,Zostera noltii,11.5,1.83,0.35
817,Zostera noltii,12.5,1.88,0.44
817,Zostera noltii,13.5,1.87,0.86
817,Zostera noltii,14.5,1.72,0.2
817,Zostera noltii,15.5,2.03,0.13
817,Zostera noltii,16.5,1.51,0.44
817,Zostera noltii,17.5,1.82,0.3
817,Zostera noltii,18.5,1.63,0.31
817,Zostera noltii,19.5,1.93,0.11
817,Zostera noltii,20.5,1.62,0.17
817,Zostera noltii,21.5,1.09,0.25
818,Zostera noltii,0.5,1.05,0.54
818,Zostera noltii,1.5,1.56,0.38
818,Zostera noltii,2.5,1.54,0.47
818,Zostera noltii,3.5,1.58,0.42
818,Zostera noltii,4.5,1.75,0.42
818,Zostera noltii,5.5,1.79,0.38
818,Zostera noltii,6.5,1.87,0.22
818,Zostera noltii,7.5,1.76,0.19
818,Zostera noltii,8.5,1.93,0.22
818,Zostera noltii,9.5,1.54,0.26
818,Zostera noltii,10.5,1.9,0.31
818,Zostera noltii,11.5,1.77,0.01
818,Zostera noltii,12.5,1.79,0.19
818,Zostera noltii,13.5,1.76,1.35
818,Zostera noltii,14.5,1.78,0.43
818,Zostera noltii,15.5,1.92,0.23
818,Zostera noltii,16.5,1.75,0.26
818,Zostera noltii,17.5,1.65,0.3
818,Zostera noltii,18.5,1.92,0.1
818,Zostera noltii,19.5,2.1,0.28
819,Zostera noltii,0.5,0.93,1.05
819,Zostera noltii,1.5,1.53,0.54
819,Zostera noltii,2.5,1.51,0.58
819,Zostera noltii,3.5,1.7,0.28
819,Zostera noltii,4.5,1.65,0.18
819,Zostera noltii,5.5,1.69,0.1
819,Zostera noltii,6.5,1.7,0.39
819,Zostera noltii,7.5,1.87,0.2
819,Zostera noltii,8.5,1.72,0.22
819,Zostera noltii,9.5,1.6,0.24
819,Zostera noltii,10.5,1.86,0.5
819,Zostera noltii,11.5,1.89,0.24
819,Zostera noltii,12.5,1.74,0.08
819,Zostera noltii,13.5,1.87,0.25
819,Zostera noltii,14.5,1.68,0.27
819,Zostera noltii,15.5,1.77,0.14
819,Zostera noltii,16.5,1.78,0.16
819,Zostera noltii,17.5,1.65,0.26
819,Zostera noltii,18.5,1.83,0.15
819,Zostera noltii,19.5,1.66,0.08
819,Zostera noltii,20.5,1.57,0.01
819,Zostera noltii,21.5,1.72,0.02
819,Zostera noltii,22.5,1.76,0.17
823,Zostera noltii,0.5,1.3,1.01
823,Zostera noltii,1.5,1.46,0.78
823,Zostera noltii,2.5,1.54,0.84
823,Zostera noltii,3.5,1.84,0.37
823,Zostera noltii,4.5,1.66,0.4
823,Zostera noltii,5.5,1.76,0.34
823,Zostera noltii,6.5,1.75,0.38
823,Zostera noltii,7.5,1.74,0.4
823,Zostera noltii,8.5,1.8,0.25
823,Zostera noltii,9.5,1.94,0.3
823,Zostera noltii,10.5,1.64,0.39
823,Zostera noltii,11.5,1.71,0.4
823,Zostera noltii,12.5,1.65,0.35
823,Zostera noltii,13.5,1.78,0.44
823,Zostera noltii,14.5,1.64,0.4
823,Zostera noltii,15.5,1.64,0.46
823,Zostera noltii,16.5,1.44,0.35
823,Zostera noltii,17.5,1.6,0.24
823,Zostera noltii,18.5,1.52,0.57
823,Zostera noltii,19.5,0.43,0.58
824,Zostera noltii,0.5,1.35,0.62
824,Zostera noltii,1.5,1.44,0.43
824,Zostera noltii,2.5,1.52,0.49
824,Zostera noltii,3.5,1.55,0.37
824,Zostera noltii,4.5,1.65,0.62
824,Zostera noltii,5.5,1.6,0.5
824,Zostera noltii,6.5,1.68,0.37
824,Zostera noltii,7.5,1.67,0.44
824,Zostera noltii,8.5,1.77,0.51
824,Zostera noltii,9.5,1.86,0.41
824,Zostera noltii,10.5,1.71,0.47
824,Zostera noltii,11.5,1.68,0.43
824,Zostera noltii,12.5,1.62,0.45
824,Zostera noltii,13.5,1.77,0.39
824,Zostera noltii,14.5,1.61,0.43
824,Zostera noltii,15.5,1.57,0.49
824,Zostera noltii,16.5,1.58,0.49
824,Zostera noltii,17.5,1.57,0.51
824,Zostera noltii,18.5,1.69,0.42
824,Zostera noltii,19.5,1.51,0.42
824,Zostera noltii,20.5,1.51,0.47
824,Zostera noltii,21.5,1.58,0.43
824,Zostera noltii,22.5,1.07,0.34
825,Zostera noltii,0.5,0.95,1.34
825,Zostera noltii,1.5,1.3,0.47
825,Zostera noltii,2.5,1.69,0.49
825,Zostera noltii,3.5,1.73,0.51
825,Zostera noltii,4.5,1.8,0.41
825,Zostera noltii,5.5,1.51,0.33
825,Zostera noltii,6.5,1.57,0.46
825,Zostera noltii,7.5,1.51,0.14
825,Zostera noltii,8.5,1.47,0.45
825,Zostera noltii,9.5,1.44,0.32
825,Zostera noltii,10.5,1.36,0.26
825,Zostera noltii,11.5,1.32,0.65
825,Zostera noltii,12.5,1.56,0.5
825,Zostera noltii,13.5,1.39,0.58
825,Zostera noltii,14.5,1.52,0.62
825,Zostera noltii,15.5,1.56,0.57
825,Zostera noltii,16.5,1.58,0.62
825,Zostera noltii,17.5,1.48,0.76
825,Zostera noltii,18.5,1.47,0.71
829,Zostera noltii,1.175,2,1.01
829,Zostera noltii,3.7,1.69,1.11
829,Zostera noltii,6.4,1.62,0.66
829,Zostera noltii,9.1,1.59,0.45
829,Zostera noltii,11.8,1.82,0.81
829,Zostera noltii,14.5,1.62,1.15
829,Zostera noltii,17.2,1.71,0.49
829,Zostera noltii,19.9,1.47,0.38
829,Zostera noltii,22.6,1.68,0.9
829,Zostera noltii,24.625,1.38,1.28
830,Zostera noltii,2.175,1.49,1.18
830,Zostera noltii,5.7,1.64,0.76
830,Zostera noltii,8.4,1.72,0.67
830,Zostera noltii,11.1,1.58,1.05
830,Zostera noltii,13.8,1.55,1.02
830,Zostera noltii,16.5,1.69,0.73
830,Zostera noltii,19.2,1.65,1.07
830,Zostera noltii,21.9,1.53,1.04
830,Zostera noltii,24.6,1.79,0.6
830,Zostera noltii,26.625,1.43,1.29
831,Zostera noltii,1.175,1.48,1
831,Zostera noltii,3.7,1.62,0.93
831,Zostera noltii,6.4,1.59,0.91
831,Zostera noltii,9.1,1.74,0.81
831,Zostera noltii,11.8,1.64,0.63
831,Zostera noltii,14.5,1.59,1.49
831,Zostera noltii,17.2,1.52,0.67
831,Zostera noltii,19.9,1.7,0.69
831,Zostera noltii,21.925,1.54,0.54
832,Zostera noltii,1.175,1.84,0.52
832,Zostera noltii,3.7,1.69,0.36
832,Zostera noltii,6.4,1.84,1
832,Zostera noltii,9.1,1.77,0.45
832,Zostera noltii,11.8,1.93,0.66
832,Zostera noltii,14.5,1.89,0.5
832,Zostera noltii,17.2,1.6,0.44
832,Zostera noltii,19.9,1.96,0.6
832,Zostera noltii,21.925,1.48,1.23
833,Zostera noltii,1.675,1.83,0.67
833,Zostera noltii,4.7,2.03,0.24
833,Zostera noltii,7.4,1.71,0.36
833,Zostera noltii,10.1,1.78,0.78
833,Zostera noltii,12.8,1.61,0.4
833,Zostera noltii,15.5,1.59,0.33
833,Zostera noltii,18.2,1.24,0.26
833,Zostera noltii,20.9,1.53,0.53
833,Zostera noltii,23.6,1.43,0.58
833,Zostera noltii,25.625,1.7,1.38
834,Zostera noltii,1.625,1.89,0.42
834,Zostera noltii,4.6,1.79,0.46
834,Zostera noltii,7.3,2.03,0.67
834,Zostera noltii,10,1.98,0.52
834,Zostera noltii,12.7,1.68,0.61
834,Zostera noltii,15.4,1.49,0.93
834,Zostera noltii,18.1,1.31,0.84
834,Zostera noltii,20.8,1.47,1.16
834,Zostera noltii,23.5,1.36,0.99
834,Zostera noltii,25.525,1.56,0.95
835,Zostera noltii,1.625,1.53,0.82
835,Zostera noltii,4.6,1.45,0.93
835,Zostera noltii,7.3,1.55,0.7
835,Zostera noltii,10,1.59,0.71
835,Zostera noltii,12.7,1.54,0.92
835,Zostera noltii,15.4,1.2,0.68
835,Zostera noltii,18.1,1.34,0.93
835,Zostera noltii,20.8,1.57,0.89
835,Zostera noltii,22.825,1.44,0.55
836,Zostera noltii,1.925,1.32,1.06
836,Zostera noltii,5.2,1.03,1.35
836,Zostera noltii,7.9,0.97,1.4
836,Zostera noltii,10.6,1.37,1.19
836,Zostera noltii,13.3,1.54,0.81
836,Zostera noltii,16,1.4,1.09
836,Zostera noltii,18.7,1.29,1.32
836,Zostera noltii,21.4,1.21,1.26
836,Zostera noltii,24.1,1.37,1.22
836,Zostera noltii,26.125,0.92,1.54
837,Zostera noltii,2.075,1.38,0.64
837,Zostera noltii,5.5,1.46,0.75
837,Zostera noltii,8.2,1.04,0.84
837,Zostera noltii,10.9,1.47,0.29
837,Zostera noltii,13.6,1.27,0.82
837,Zostera noltii,16.3,1.35,0.5
837,Zostera noltii,19,1.37,0.42
837,Zostera noltii,21.7,1.6,0.59
837,Zostera noltii,24.4,1.47,0.44
837,Zostera noltii,26.425,1.71,0.53
672,"Amphibolis antarctica, Halodule uninervis",3.25,0.85,2.05
672,"Amphibolis antarctica, Halodule uninervis",8,0.9,2.16
672,"Amphibolis antarctica, Halodule uninervis",11,1.13,1.64
672,"Amphibolis antarctica, Halodule uninervis",14,0.83,1.75
672,"Amphibolis antarctica, Halodule uninervis",17,0.91,2.21
672,"Amphibolis antarctica, Halodule uninervis",20,0.97,2.44
672,"Amphibolis antarctica, Halodule uninervis",23,1,2.61
672,"Amphibolis antarctica, Halodule uninervis",26,1.06,1.68
672,"Amphibolis antarctica, Halodule uninervis",29,0.84,3.32
672,"Amphibolis antarctica, Halodule uninervis",32,0.98,2.48
672,"Amphibolis antarctica, Halodule uninervis",35,0.95,2.18
672,"Amphibolis antarctica, Halodule uninervis",38,0.89,2.33
672,"Amphibolis antarctica, Halodule uninervis",41,0.87,2.58
672,"Amphibolis antarctica, Halodule uninervis",44,0.91,2.69
672,"Amphibolis antarctica, Halodule uninervis",47,0.97,1.54
672,"Amphibolis antarctica, Halodule uninervis",50,1.01,3.2
675,"Amphibolis antarctica, Halodule uninervis",1.25,0.45,4
675,"Amphibolis antarctica, Halodule uninervis",4,0.47,2.68
675,"Amphibolis antarctica, Halodule uninervis",7,0.64,2.15
675,"Amphibolis antarctica, Halodule uninervis",10,0.59,2.62
675,"Amphibolis antarctica, Halodule uninervis",13,0.59,2
675,"Amphibolis antarctica, Halodule uninervis",16,0.64,2.6
675,"Amphibolis antarctica, Halodule uninervis",19,0.63,2.66
675,"Amphibolis antarctica, Halodule uninervis",22,0.67,2.65
675,"Amphibolis antarctica, Halodule uninervis",25,0.54,2.85
675,"Amphibolis antarctica, Halodule uninervis",28,0.7,3.55
675,"Amphibolis antarctica, Halodule uninervis",31,0.81,2.38
675,"Amphibolis antarctica, Halodule uninervis",34,0.73,1.26
675,"Amphibolis antarctica, Halodule uninervis",37,0.69,3.13
675,"Amphibolis antarctica, Halodule uninervis",40,0.67,3.2
675,"Amphibolis antarctica, Halodule uninervis",43,0.68,2.81
675,"Amphibolis antarctica, Halodule uninervis",46,0.75,3.73
675,"Amphibolis antarctica, Halodule uninervis",49,0.79,2.21
679,"Amphibolis antarctica, Halodule uninervis",1.75,0.35,3.98
679,"Amphibolis antarctica, Halodule uninervis",5,0.58,2.65
679,"Amphibolis antarctica, Halodule uninervis",8,0.57,2.83
679,"Amphibolis antarctica, Halodule uninervis",11,0.58,2.88
679,"Amphibolis antarctica, Halodule uninervis",14,0.68,3.14
679,"Amphibolis antarctica, Halodule uninervis",17,0.59,3.44
679,"Amphibolis antarctica, Halodule uninervis",20,0.64,3.02
679,"Amphibolis antarctica, Halodule uninervis",23,0.63,2.68
679,"Amphibolis antarctica, Halodule uninervis",26,0.56,2.9
679,"Amphibolis antarctica, Halodule uninervis",29,0.6,2.51
679,"Amphibolis antarctica, Halodule uninervis",32,0.62,2.43
679,"Amphibolis antarctica, Halodule uninervis",35,0.65,2.81
679,"Amphibolis antarctica, Halodule uninervis",38,0.71,2.81
679,"Amphibolis antarctica, Halodule uninervis",41,0.77,2.38
679,"Amphibolis antarctica, Halodule uninervis",44,0.64,3.19
679,"Amphibolis antarctica, Halodule uninervis",47,0.7,2.07
679,"Amphibolis antarctica, Halodule uninervis",50,0.66,2.8
LYL,"Enhalus acoroides, Thalassia hemprichii",1.2,1.403,0.21
LYL,"Enhalus acoroides, Thalassia hemprichii",5.5,1.472,0.26
LYL,"Enhalus acoroides, Thalassia hemprichii",11.6,1.48,0.19
LYL,"Enhalus acoroides, Thalassia hemprichii",17.7,1.505,0.15
LYL,"Enhalus acoroides, Thalassia hemprichii",23.8,1.466,0.19
LYL,"Enhalus acoroides, Thalassia hemprichii",29.9,1.525,0.23
LYL,"Enhalus acoroides, Thalassia hemprichii",36,1.509,0.28
LYL,"Enhalus acoroides, Thalassia hemprichii",42.1,1.521,0.24
LYL,"Enhalus acoroides, Thalassia hemprichii",48.2,1.496,0.4
#39-1,"Enhalus acoroides, Thalassia hemprichii",2.5,0.972,1.04
#39-1,"Enhalus acoroides, Thalassia hemprichii",7.5,1.079,0.84
#39-1,"Enhalus acoroides, Thalassia hemprichii",12.5,1.096,0.99
#39-1,"Enhalus acoroides, Thalassia hemprichii",17.5,1.13,1.1
#39-1,"Enhalus acoroides, Thalassia hemprichii",22.5,1.149,0.96
#40-1,"Enhalus acoroides, Thalassia hemprichii",2.5,0.881,0.93
#40-1,"Enhalus acoroides, Thalassia hemprichii",7.5,0.981,0.89
#40-1,"Enhalus acoroides, Thalassia hemprichii",12.5,0.941,0.97
#40-1,"Enhalus acoroides, Thalassia hemprichii",17.5,0.975,0.65
